branch,address,phone,position,bus,subway,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,access,tags,path
Arlington Library,"203 Arlington Ave. at Warwick St. Brooklyn, NY 11207",718.277.6105,"40.680456600000, -73.887288700000",Q24;Q56,J,\n10:00am - 6:00pm,\n10:00am - 6:00pm,\n1:00pm - 8:00pm,\n10:00am - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 5:00pm,,Fully accessible,accessible;open now;,https://www.bklynlibrary.org/locations/arlington
Bay Ridge Library,"7223 Ridge Blvd. at 73rd St. Brooklyn, NY 11209",718.748.5709,"40.633650700000, -74.029523500000",B4;B9;B64;B70,R,\n10:00am - 6:00pm,\n10:00am - 6:00pm,\n10:00am - 8:00pm,\n1:00pm - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 5:00pm,,Fully accessible,accessible;open now;,https://www.bklynlibrary.org/locations/bay-ridge
Bedford Library,"496 Franklin Avenue Brooklyn, NY 11238",718.623.0012,"40.681817000000, -73.956194800000",B25;B26;B48;B49,C;S,\n10:00am - 6:00pm,\n10:00am - 6:00pm,\n1:00pm - 8:00pm,\n10:00am - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 5:00pm,,Fully accessible,accessible;open now;learning center;,https://www.bklynlibrary.org/locations/bedford
Borough Park Library,"1265 43rd St. at 13th Ave. Brooklyn, NY 11219",718.437.4085,"40.638920000000, -73.989122700000",B11;B16;B35,D,\n10:00am - 6:00pm,\n10:00am - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 8:00pm,\n10:00am - 6:00pm,,\n1:00pm - 5:00pm,Fully accessible,accessible;open now;book drop;open sundays,https://www.bklynlibrary.org/locations/borough-park
Brighton Beach Library,"16 Brighton First Rd. at Brighton Beach Ave. Brooklyn, NY 11235",718.946.2917,"40.576178400000, -73.966799500000",B1;B68,B;Q,\n10:00am - 6:00pm,\n1:00pm - 8:00pm,\n10:00am - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 6:00pm,\n10:00am - 5:00pm,,Fully accessible,accessible;open now;,https://www.bklynlibrary.org/locations/brighton-beach
Brooklyn Heights Library,"109 Remsen Street Brooklyn, NY 11201",718.623.7100,"40.694073700000, -73.994015000000",B25;B26;B38;B41;B52,2;3;4;5;A;C;F;R,\n10:00am - 6:00pm,\n10:00am - 8:00pm,\n10:00am - 8:00pm,\n10:00am - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 5:00pm,,Fully accessible,accessible;open now;book drop;,https://www.bklynlibrary.org/locations/brooklyn-heights
Brower Park Library,"725 St. Marks Ave. at Nostrand Ave. Brooklyn, NY 11216",718.773.7208,"40.675355100000, -73.948610700000",B44;B45;B65,3;A;C,\n10:00am - 6:00pm,\n10:00am - 6:00pm,\n10:00am - 8:00pm,\n1:00pm - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 5:00pm,,Fully accessible,accessible;open now;,https://www.bklynlibrary.org/locations/brower-park
Brownsville Library,"61 Glenmore Ave. at Watkins St. Brooklyn, NY 11212",718.498.9721,"40.671344700000, -73.908388200000",B12;B14;B60,3;J;L,\n10:00am - 6:00pm,\n1:00pm - 8:00pm,\n10:00am - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 6:00pm,\n10:00am - 5:00pm,,Fully accessible,accessible;open now;,https://www.bklynlibrary.org/locations/brownsville
Bushwick Library,"340 Bushwick Avenue Brooklyn, NY 11206",718.602.1348,"40.704528500000, -73.939602100000",B43;B46;B57;B60,J;L;M,\n10:00am - 6:00pm,\n10:00am - 6:00pm,\n10:00am - 8:00pm,\n1:00pm - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 5:00pm,,Fully accessible,accessible;open now;,https://www.bklynlibrary.org/locations/bushwick
Canarsie Library,"1580 Rockaway Pkwy. at Ave. J Brooklyn, NY 11236",718.257.6547,"40.642131900000, -73.899383100000",B6;B42;B60;B82,L,\n10:00am - 6:00pm,\n10:00am - 8:00pm,\n10:00am - 8:00pm,\n10:00am - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 5:00pm,,Partially accessible,accessible;open now;,https://www.bklynlibrary.org/locations/canarsie
Carroll Gardens Library,"396 Clinton St. Brooklyn, NY 11231",718.596.6972,"40.683229000000, -73.998031000000",,F;G,\n10:00am - 6:00pm,\n10:00am - 8:00pm,\n1:00pm - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 6:00pm,\n10:00am - 5:00pm,,Partially accessible,accessible;open now;book drop;,https://www.bklynlibrary.org/locations/carroll-gardens
Central Library,"10 Grand Army Plaza Brooklyn, NY 11238",718.230.2100,"40.672480800000, -73.968208400000",B41,2;3;B;Q,\n9:00am - 9:00pm,\n9:00am - 9:00pm,\n9:00am - 9:00pm,\n9:00am - 9:00pm,\n9:00am - 6:00pm,\n9:00am - 6:00pm,\n1:00pm - 5:00pm,Fully accessible,accessible;open now;open late;learning center;passport office;book drop;open sundays,https://www.bklynlibrary.org/locations/central
Clarendon Library,"2035 Nostrand Ave. Brooklyn, NY 11210",718.421.1159 ,"40.635736900000, -73.947958200000",B6;B11;B41;B44;Q35,2;5,\n10:00am - 6:00pm,\n1:00pm - 8:00pm,\n10:00am - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 6:00pm,\n10:00am - 5:00pm,,Fully accessible,accessible;open now;book drop;,https://www.bklynlibrary.org/locations/clarendon
Clinton Hill Library,"380 Washington Ave. at Lafayette Ave. Brooklyn, NY 11238",718.398.8713,"40.687335100000, -73.965652500000",B25;B26;B38;B52;B69,C;G,\n10:00am - 6:00pm,\n10:00am - 8:00pm,\n1:00pm - 8:00pm,\n10:00am - 6:00pm,\n10:00am - 6:00pm,\n10:00am - 5:00pm,,Fully accessible,accessible;open now;book drop;,https://www.bklynlibrary.org/locations/clinton-hill
