Book,Decade
"Scary Stories (series), by Alvin Schwartz",1990-1999
"Daddy’s Roommate, by Michael Willhoite",1990-1999
"I Know Why the Caged Bird Sings, by Maya Angelou",1990-1999
"The Chocolate War, by Robert Cormier",1990-1999
"The Adventures of Huckleberry Finn, by Mark Twain",1990-1999
"Of Mice and Men, by John Steinbeck",1990-1999
"Forever, by Judy Blume",1990-1999
"Bridge to Terabithia, by Katherine Paterson",1990-1999
"Heather Has Two Mommies, by Leslea Newman",1990-1999
"The Catcher in the Rye, by J.D. Salinger",1990-1999
"The Giver, by Lois Lowry",1990-1999
"My Brother Sam is Dead, by James Lincoln Collier and Christopher Collier",1990-1999
"It’s Perfectly Normal, by Robie Harris",1990-1999
"Alice (series), by Phyllis Reynolds Naylor",1990-1999
"Goosebumps (series), by R.L. Stine",1990-1999
"A Day No Pigs Would Die, by Robert Newton Peck",1990-1999
"The Color Purple, by Alice Walker",1990-1999
"Sex, by Madonna",1990-1999
"Earth’s Children (series), by Jean M. Auel",1990-1999
"The Great Gilly Hopkins, by Katherine Paterson",1990-1999
"In the Night Kitchen, by Maurice Sendak",1990-1999
"The Witches, by Roald Dahl",1990-1999
"A Wrinkle in Time, by Madeleine L’Engle",1990-1999
"The New Joy of Gay Sex, by Charles Silverstein",1990-1999
"Go Ask Alice, by Anonymous",1990-1999
"The Goats, by Brock Cole",1990-1999
"The Stupids (series), by Harry Allard",1990-1999
"Anastasia Krupnik (series), by Lois Lowry",1990-1999
"Final Exit, by Derek Humphry",1990-1999
"Blubber, by Judy Blume",1990-1999
"Halloween ABC, by Eve Merriam",1990-1999
"Julie of the Wolves, by Jean Craighead George",1990-1999
"Kaffir Boy, by Mark Mathabane",1990-1999
"The Bluest Eye, by Toni Morrison",1990-1999
"What’s Happening to my Body? Book for Girls: A Growing-Up Guide for Parents & Daughters, by Lynda Madaras",1990-1999
"Fallen Angels, by Walter Dean Myers",1990-1999
"The Handmaid’s Tale, by Margaret Atwood",1990-1999
"The Outsiders, by S.E. Hinton",1990-1999
"The Pigman, by Paul Zindel",1990-1999
"To Kill a Mockingbird, by Harper Lee",1990-1999
"We All Fall Down, by Robert Cormier",1990-1999
"Deenie, by Judy Blume",1990-1999
"Flowers for Algernon, by Daniel Keyes",1990-1999
"Annie on My Mind, by Nancy Garden",1990-1999
"Beloved, by Toni Morrison",1990-1999
"The Boy Who Lost His Face, by Louis Sachar",1990-1999
"Cross Your Fingers, Spit in Your Hat, by Alvin Schwartz",1990-1999
"Harry Potter (series), by J.K. Rowling",1990-1999
"Cujo, by Stephen King",1990-1999
"James and the Giant Peach, by Roald Dahl",1990-1999
"A Light in the Attic, by Shel Silverstein",1990-1999
"Ordinary People, by Judith Guest",1990-1999
"American Psycho, by Bret Easton Ellis",1990-1999
"Brave New World, by Aldous Huxley",1990-1999
"Sleeping Beauty Trilogy, by A.N. Roquelaure (Anne Rice)",1990-1999
"Bumps in the Night, by Harry Allard",1990-1999
"Asking About Sex and Growing Up, by Joanna Cole",1990-1999
"What’s Happening to my Body? Book for Boys: A Growing-Up Guide for Parents & Sons, by Lynda Madaras",1990-1999
"The Anarchist Cookbook, by William Powell",1990-1999
"Are You There, God? It’s Me, Margaret, by Judy Blume",1990-1999
"Boys and Sex, by Wardell Pomeroy",1990-1999
"Crazy Lady, by Jane Conly",1990-1999
"Athletic Shorts, by Chris Crutcher",1990-1999
"Killing Mr. Griffin, by Lois Duncan",1990-1999
"Fade, by Robert Cormier",1990-1999
"Guess What?, by Mem Fox",1990-1999
"Slaughterhouse-Five, by Kurt Vonnegut",1990-1999
"Lord of the Flies, by William Golding",1990-1999
"Native Son, by Richard Wright",1990-1999
"Women on Top: How Real Life Has Changed Women’s Fantasies, by Nancy Friday",1990-1999
"Curses, Hexes and Spells, by Daniel Cohen",1990-1999
"On My Honor, by Marion Dane Bauer",1990-1999
"The House of Spirits, by Isabel Allende",1990-1999
"Jack, by A.M. Homes",1990-1999
