Author,Book,School District,State,IN P DOC,Notes,"Challenge/Complaint Status

",Status,"Status Notes - See ""By School District"" Tab for More Detail",Details of Restriction,Where Did I find the book or discover the resource,Have You Read Or Examined the Entire Resource,Location in School District,Published,# Copies Total In District,Date Challenged,clustered_book
"Kerr, M. E.","""Hello,"" I lied : a novel",North East,Texas,yes,,No Challenge Filed,,Removed from shelves for review on basis of Rep Krause letter,,,,,1998,1,,"""Hello,"" I lied : a novel"
"Thomas, Rachel",#blacklivesmatter,Indian River County Schools,Florida,yes,Status Change: 2/28/22,unclear,RETURNED - FL as 5/2022,Temporarily removed while under review,,,,,,,,#blacklivesmatter
"Thomas, Rachel
 L.","#BlackLivesMatter :
 protesting racism",North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2020,2,,"#BlackLivesMatter :
 protesting racism"
"Ukazu, Ngozi","#Hockey (Check, Please! Series)",Tennessee,Collierville Schools,Yes,TWO,no challenge,back on shelves probably,,,,,,,,,"#Hockey (Check, Please! Series)"
"McNeil, Gretchen",#Murder Trending,Savannah-Chatham County Public School SYstem,Georgia,n/a,,Informal Challenge,,,,,,,,,,#Murder Trending
"McNeil, Gretchen",#MurderTrending,Goddard,Kansas,yes,"removed while under review - against published policy after pushback, returned to shelves while policies under review",Informal Challenge,Challenged - Prob on Shelves,11/21 - Returneed to shelves while reviewing book challenge policies,,,,,,,,#Murder Trending
"Mac, Carrie",10 Things I Can See from Here,Tennessee,Collierville Schools,Yes,TWO,no challenge,back on shelves probably,,,,,,,,,10 Things I Can See from Here
"Mac, Carrie",10 Things I Can See from Here,McKinney,Texas,,2/15/22,Yes,Challenged - Pending,Watch to see if they stay on shelves or not - 2/22,,,,,,HS,,10 Things I Can See from Here
"Mac, Carrie",10 Things I Can See from Here,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2017,3,,10 Things I Can See from Here
"Ewert, Marcus","10,000 Dresses",Duval County Public Schools,Florida,yes,1/20/22,No Challenge Filed,In storage until review was complete,,,,,,,,,"10,000 Dresses"
"Henderson, Elizabeth",100 Questions You Would Never Ask Your Parents,Cypress-Fairbanks,Texas,n/a,1/2022,No Challenge Filed,Retained,Krause List,,,,,,,,100 Questions You Would Never Ask Your Parents
"Henderson, Elisabeth","100 Questions You'd Never Ask Your Parents: Straight Answers to a Teens' Questions About Sex, Sexuality, and Health",Klein ISD,Texas,yes,,Informal Challenge,removed while under investigation.,,,,,,,,,100 Questions You Would Never Ask Your Parents
"Brynie, Faith
 Hickman","101 questions about
 reproduction : or how 1 + 1
 = 3 or 4 or more--",North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2006,2,,"101 questions about
 reproduction : or how 1 + 1
 = 3 or 4 or more--"
"Brynie, Faith
 Hickman","101 questions about sex
 and sexuality-- : with
 answers for the curious,
 cautious, and confused",North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2003,1,,"101 Questions About Sex & Sexuality: with answer for the curious, cautious, and confused"
"Brynie, Faith Hickman ","101 Questions About Sex & Sexuality: with answer for the curious, cautious, and confused",Cypress-Fairbanks,Texas,n/a,1/2022,No Challenge Filed,Retained,Krause List,,,,,,,,"101 Questions About Sex & Sexuality: with answer for the curious, cautious, and confused"
"Asher, Jay",13 Reasons Why,Bixby Public Schools,Oklahoma,n/a,After community challenge Bixby Public Schools willkeep pair of books in library,Formal Challenge Filed,Retained,,,,,,,,,13 Reasons Why
"Asher, Jay",13 Reasons Why,Frisco ISD,Texas,,12/21,Informal Challenge,Challenged - Prob on Shelves,Unclear,,Middle School,,,,,,13 Reasons Why
"Asher, Jay",13 Reasons Why,North Smithfield School District,Rhode Island,n/a,Superintendent already examining book policies - particularly acquisition,Informal Challenge,,,,,,,,,,13 Reasons Why
"Deedy, Carmen Agra",14 Cows for America,Duval County Public Schools,Florida,yes,1/20/22,No Challenge Filed,In storage until review was complete,,,,,,,,,14 Cows for America
"Levithan, David",19 Love Songs,Tennessee,Collierville Schools,Yes,THREE,no challenge,back on shelves probably,,,,,,,,,19 Love Songs
"Levithan, David",19 Love Songs,Prosper ISD,Texas,,,yes,Challenged - Prob. on shelvesa,Complaint Filed - status unclear,,,,,,2,,19 Love Songs
"Picoult, Jodi",19 Minutes,Fox C-6 School District,Missouri,n/a,,Formal Challenge Filed,No books have been removed but they are considering restrictions,,,,,,,,,19 Minutes
"Picoult, Jodi",19 Minutes,North Smithfield School District,Rhode Island,n/a,Superintendent already examining book policies - particularly acquisition,Informal Challenge,,,,,,,,,,19 Minutes
"Bradley, Alex",24 Girls in 7 Days,Frisco ISD,Texas,n/a,12/21,Formal Challenge Filed,WEEDED,parent continued the complaint process even though it was WEEDED,,Middle School,,,,,,24 Girls in 7 Days
"Lassieur, Allison",25 Women Who Dared to Go,Central York,Pennsylvania,yes,September 2021,No Challenge Filed,Pulled and returned to shelves after national outcry,Against policy,,,,,,,,25 Women Who Dared to Go
"Sherman, Jill",25 Women Who Fought Back,Central York,Pennsylvania,yes,September 2021,No Challenge Filed,Pulled and returned to shelves after national outcry,Against policy,,,,,,,,25 Women Who Fought Back
"Stanborough, Rebecca J",25 Women Who Rules,Central York,Pennsylvania,yes,September 2021,No Challenge Filed,Pulled and returned to shelves after national outcry,Against policy,,,,,,,,25 Women Who Rules
"Sherman, Jill",25 Women Who Thought of It First,Central York,Pennsylvania,yes,September 2021,No Challenge Filed,Pulled and returned to shelves after national outcry,Against policy,,,,,,,,25 Women Who Thought of It First
"Rapp, Adam",33 Snowfish,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High,,,,,,33 Snowfish
"Rapp, Adam",33 Snowfish,Nampa School District,Idaho,yes,"committee recommended further review, not immediate censorship",Informal Challenge,banned,,,,,,,,,33 Snowfish
"Rapp, Adam",33 Snowfish,Spotslyvania County,Virginia,yes,unconstitutional order to remove book,unclear,temporary removed,,,,,,,,,33 Snowfish
"Rapp, Adam",33 Snowfish,Gladwin Community Schools,Michigan,,,Unknown,pulled from shelves per M4L,,,,,,,,,33 Snowfish
"Adeyoha, Koja and Angel","47,000 Beads",Central York,Pennsylvania,yes,September 2021,No Challenge Filed,Pulled and returned to shelves after national outcry,Against policy,,,,,,,,"47,000 Beads"
"James, EL",50 Shades of Gray,Walton County School District,Florida,yes,,No Challenge Filed,REMOVED BY ADMINISTRATION,,,,,,,,,50 Shades of Gray
San Francisco Writers Grotto,642 Things to Write About,Hudson,OH,yes,was part of the Hudson High School senior College Credit Plus writing class,Unknown,Removed from curriculum,,,,,,,,,642 Things to Write About
"Trueman, Terry",7 Days at the Hot Corner,McKinney,Texas,,2/15/22,Yes,Challenged - Pending,Watch to see if they stay on shelves or not - 2/22,,,,,,MS,,7 Days at the Hot Corner
