Author,Secondary Author(s),Illustrators,Translators,Book,clustered_book,School District,Missouri,IN P DOC,Date,Notes,"Challenge/Complaint Status

",Status,"Status Notes - See ""By School District"" Tab for More Detail",Details of Restriction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dawson, Juno",,,,This Book is Gay,This Book Is Gay,Abington Public Schools,Massachusetts,yes,October 2022,"mother is now reviewing all the books in the MS and HS libraries. She said she'd heard about ""sexually explicit books in other parts of the country"" and went looking.",Removed from school,Removed from Shelves - While Under Review,Middle/High School library Books Under Scrutiny after one is removed,"She has since provided school officials with a list of 23 books that she feels may contain inappropriate content based on a review of the library’s collection and books flagged by parents elsewhere. Some of the books feature LBGTQ themes, including “All Boys Aren’t Blue”, and others include descriptions of sexual assault, incest, and other adult issues, such as Toni Morrison’s “The Bluest Eye”.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,How I Resist,How I Resist,Academy District 20,Colorado,no,November 2022,,https://www.csindy.com/news/advocates-for-library-book-removal-are-now-questioning-content-in-d11-some-targeting-lgbtq-inclusive/article_43af54aa-758b-11ed-85ec-d3d0f1bc2244.html?utm_source=pocket_reader,Challenged-Retained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,We Are Not Yet Equal,We Are Not Yet Equal,Academy District 20,Colorado,no,November 2022,,https://www.csindy.com/news/advocates-for-library-book-removal-are-now-questioning-content-in-d11-some-targeting-lgbtq-inclusive/article_43af54aa-758b-11ed-85ec-d3d0f1bc2244.html?utm_source=pocket_reader,Challenged - Location Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Steal This Country,Steal This Country,Academy District 20,Colorado,no,November 2022,,https://www.csindy.com/news/advocates-for-library-book-removal-are-now-questioning-content-in-d11-some-targeting-lgbtq-inclusive/article_43af54aa-758b-11ed-85ec-d3d0f1bc2244.html?utm_source=pocket_reader,Challenged - Location Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kobabe, Maia",,,,Gender Queer: A Memoir,Gender Queer,Alamance-Burlinton School District,North Carolina,yes,September 2022,,Super. removed fro school - seems like itwas part of a larger collection of material that qa parent group complained about FACT 2.0,Banned,Supt. removes LGBTQ book from Western High Library,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maas, Sarah J.",,,,A Court of Frost and Starlight,A Court of Frost and Starlight,Alpine School District,Utah,yes,November 2022,Related to the Law Change,,Banned,Books Pulled Alpine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maas, Sarah J.",,,,A Court of Mist and Fury,A Court of Mist and Fury,Alpine School District,Utah,yes,November 2022,Related to the Law Change,,Banned,Books Pulled Alpine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maas, Sarah J.",,,,A ​Court of Silver Flames,A ​Court of Silver Flames,Alpine School District,Utah,yes,November 2022,Related to the Law Change,,Banned,Books Pulled Alpine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maas, Sarah J.",,,,A Court of Thorns and Roses,A Court of Thorns and Roses,Alpine School District,Utah,yes,November 2022,Related to the Law Change,,Banned,Books Pulled Alpine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maas, Sarah J.",,,,A Court of Wings and Ruin,A Court of Wings and Ruin,Alpine School District,Utah,yes,November 2022,Related to the Law Change,,Banned,Books Pulled Alpine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Peters, Julie Anne",,,,grl2grl,grl2grl,Alpine School District,Utah,yes,November 2022,Related to the Law Change,,Banned,Books Pulled Alpine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Johnson, George M.",,,,All Boys Aren't Blue,All Boys Aren't Blue,Alpine School District,Utah,yes,November 2022,Related to the Law Change,,Banned,Books Pulled Alpine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Niven, Jennifer",,,,Breathless,Breathless,Alpine School District,Utah,yes,November 2022,Related to the Law Change,,Banned,Books Pulled Alpine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arnold, Elana K.",,,,Damsel,Damsel,Alpine School District,Utah,yes,November 2022,Related to the Law Change,,Banned,Books Pulled Alpine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hopkins, Ellen",,,,Crank,Crank,Alpine School District,Utah,yes,November 2022,Related to the Law Change,,Banned,Books Pulled Alpine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hopkins, Ellen",,,,Fallout,Fallout,Alpine School District,Utah,yes,November 2022,Related to the Law Change,,Banned,Books Pulled Alpine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kobabe, Maia",,,,Gender Queer: A Memoir,Gender Queer,Alpine School District,Utah,yes,November 2022,Related to the Law Change,,Banned,Books Pulled Alpine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Evison, Jonathan",,,,Lawn Boy,Lawn Boy,Alpine School District,Utah,yes,November 2022,Related to the Law Change,,Banned,Books Pulled Alpine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Perez, Ashley Hope",,,,Out of Darkness,Out of Darkness,Alpine School District,Utah,yes,November 2022,Related to the Law Change,,Banned,Books Pulled Alpine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hopkins, Ellen",,,,People Kill People,People Kill People,Alpine School District,Utah,yes,November 2022,Related to the Law Change,,Banned,Books Pulled Alpine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Myracle, Lauren",,,,Shine,Shine,Alpine School District,Utah,yes,November 2022,Related to the Law Change,,Banned,Books Pulled Alpine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Foley, Jessie Ann",,,,The Carnival at Bray,The Carnival at Bray,Alpine School District,Utah,yes,November 2022,Related to the Law Change,,Banned,Books Pulled Alpine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andrews, Jesse",,,,The Haters,The Haters,Alpine School District,Utah,yes,November 2022,Related to the Law Change,,Banned,Books Pulled Alpine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dawson, Juno",,,,This Book Is Gay,This Book Is Gay,Alpine School District,Utah,yes,November 2022,Related to the Law Change,,Banned,Books Pulled Alpine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hopkins, Ellen",,,,Tilt,Tilt,Alpine School District,Utah,yes,November 2022,Related to the Law Change,,Banned,Books Pulled Alpine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Myracle, Lauren",,,,ttyl,ttyl,Alpine School District,Utah,yes,November 2022,Related to the Law Change,,Banned,Books Pulled Alpine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arnold, Elana K.",,,,What Girls Are Made Of,What Girls Are Made Of,Alpine School District,Utah,yes,November 2022,Related to the Law Change,,Banned,Books Pulled Alpine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"McMann, Lisa",,,,Fade (Wake Series),Fade (Wake Series),Alpine School District,Utah,yes,November 2022,Related to the Law Change,,Retained - Restricted,Books Pulled Alpine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Curato, Mike",,,,Flamer,Flamer,Alpine School District,Utah,yes,November 2022,Related to the Law Change,,Retained - Restricted,Books Pulled Alpine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Blume, Judy",,,,Forever...,Forever...,Alpine School District,Utah,yes,November 2022,Related to the Law Change,,Retained - Restricted,Books Pulled Alpine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hopkins, Ellen",,,,Impulse,Impulse,Alpine School District,Utah,yes,November 2022,Related to the Law Change,,Retained - Restricted,Books Pulled Alpine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Backderf, Derf",,,,My Friend Dahmer,My Friend Dahmer,Alpine School District,Utah,yes,November 2022,Related to the Law Change,,Retained - Restricted,Books Pulled Alpine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Norton, Preston",,,,Neanderthal Opens the Door to the Universe,Neanderthal Opens the Door to the Universe,Alpine School District,Utah,yes,November 2022,Related to the Law Change,,Retained - Restricted,Books Pulled Alpine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Belge, Kathy",,,,Queer: The Ultimate LGBTQ Guide for Teens,Queer: THe Ultimate LGBTQ Guide Series,Alpine School District,Utah,yes,November 2022,Related to the Law Change,,Retained - Restricted,Books Pulled Alpine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arnold, Elana K.",,,,Red Hood,Red Hood,Alpine School District,Utah,yes,November 2022,Related to the Law Change,,Retained - Restricted,Books Pulled Alpine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stein, Garth",,,,The Art of Racing in the Rain,The Art of Racing in the Rain,Alpine School District,Utah,yes,November 2022,Related to the Law Change,,Retained - Restricted,Books Pulled Alpine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Durrow, Heidi W.",,,,The Girl Who Fell from the Sky,The Girl Who Fell from the Sky,Alpine School District,Utah,yes,November 2022,Related to the Law Change,,Retained - Restricted,Books Pulled Alpine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Reed, Amy",,,,The Nowhere Girls,The Nowhere Girls,Alpine School District,Utah,yes,November 2022,Related to the Law Change,,Retained - Restricted,Books Pulled Alpine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tamaki, Mariko",,,,This One Summer,This One Summer,Alpine School District,Utah,yes,November 2022,Related to the Law Change,,Retained - Restricted,Books Pulled Alpine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Myracle, Lauren",,,,ttfn,ttfn,Alpine School District,Utah,yes,November 2022,Related to the Law Change,,Retained - Restricted,Books Pulled Alpine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anderson, Laurie Halse",,,,Twisted,Twisted,Alpine School District,Utah,yes,November 2022,Related to the Law Change,,Retained - Restricted,Books Pulled Alpine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hutchinson, Shaun David",,,,We Are the Ants,We Are the Ants,Alpine School District,Utah,yes,November 2022,Related to the Law Change,,Retained - Restricted,Books Pulled Alpine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lukavics, Amy",,,,Daughters Unto Devils,Daughters Unto Devils,Alpine School District,Utah,yes,November 2022,Related to the Law Change,,Retained - Restricted,Books Pulled Alpine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOOKS NOT NAMED - list of several starget LGBTQ identities,,,,,,Bay City Public Schools,Michigan,no,November 2022,Started in April 2022,"Jillian McGee, who claimed a list of books formed that were found in the Bay City Western High School library were offensive and pornographic",Retained,Request to ban books at Bay City Western High School denied by school board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acevedo, Elizabeth",,,,The Poet X,The Poet X,Beaufort County School District,South Carolina,yes,October 2022,Committee Reviewing - VOTE 1/19/23,,Retained - Restricted,"To recap, 97 books were removed from the shelves of libraries and classrooms in the BCSD in October and are to be reviewed for their appropriateness by the committees. The reviews were triggered by the complaints from a group of parents that the books were obscene and inappropriate, though the list of books, submitted by former Beaufort County Councilman and prominent GOP politician Mike Covert, is nearly identical to a list compiled by a political group, Moms For Liberty.LOTS of Articles in files via NEXIS",Moved to HS only,tEN mORE cOMMITEES BEGIN REVIEW OF BOOKS REMOVED FROM BCSD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adichie, Chimamanda Ngozi",,,,Half of a Yellow Sun,Half of a Yellow Sun,Beaufort County School District,South Carolina,yes,October 2022,,,Removed from Shelves - While Under Review,"To recap, 97 books were removed from the shelves of libraries and classrooms in the BCSD in October and are to be reviewed for their appropriateness by the committees. The reviews were triggered by the complaints from a group of parents that the books were obscene and inappropriate, though the list of books, submitted by former Beaufort County Councilman and prominent GOP politician Mike Covert, is nearly identical to a list compiled by a political group, Moms For Liberty.LOTS of Articles in files via NEXIS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adler, Dahlia",,,,Cool for the Summer,Cool for the Summer,Beaufort County School District,South Carolina,yes,October 2022,,,Removed from Shelves - While Under Review,"To recap, 97 books were removed from the shelves of libraries and classrooms in the BCSD in October and are to be reviewed for their appropriateness by the committees. The reviews were triggered by the complaints from a group of parents that the books were obscene and inappropriate, though the list of books, submitted by former Beaufort County Councilman and prominent GOP politician Mike Covert, is nearly identical to a list compiled by a political group, Moms For Liberty.LOTS of Articles in files via NEXIS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Albertalli, Becky",,,,Leah on the Offbeat (Simonverse Series),Leah on the Offbeat,Beaufort County School District,South Carolina,yes,October 2022,,,Removed from Shelves - While Under Review,"To recap, 97 books were removed from the shelves of libraries and classrooms in the BCSD in October and are to be reviewed for their appropriateness by the committees. The reviews were triggered by the complaints from a group of parents that the books were obscene and inappropriate, though the list of books, submitted by former Beaufort County Councilman and prominent GOP politician Mike Covert, is nearly identical to a list compiled by a political group, Moms For Liberty.LOTS of Articles in files via NEXIS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Albertalli, Becky",,,,The Upside of Unrequited (Simonverse Series),The Upside of Unrequited,Beaufort County School District,South Carolina,yes,October 2022,,,Removed from Shelves - While Under Review,"To recap, 97 books were removed from the shelves of libraries and classrooms in the BCSD in October and are to be reviewed for their appropriateness by the committees. The reviews were triggered by the complaints from a group of parents that the books were obscene and inappropriate, though the list of books, submitted by former Beaufort County Councilman and prominent GOP politician Mike Covert, is nearly identical to a list compiled by a political group, Moms For Liberty.LOTS of Articles in files via NEXIS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anderson, Laurie Halse",,,,Speak,Speak,Beaufort County School District,South Carolina,yes,October 2022,,,Removed from Shelves - While Under Review,"To recap, 97 books were removed from the shelves of libraries and classrooms in the BCSD in October and are to be reviewed for their appropriateness by the committees. The reviews were triggered by the complaints from a group of parents that the books were obscene and inappropriate, though the list of books, submitted by former Beaufort County Councilman and prominent GOP politician Mike Covert, is nearly identical to a list compiled by a political group, Moms For Liberty.LOTS of Articles in files via NEXIS",RETURNED TO SHELVES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anderson, Laurie Halse",,,,Wintergirls,Wintergirls,Beaufort County School District,South Carolina,yes,October 2022,,,Removed from Shelves - While Under Review,"To recap, 97 books were removed from the shelves of libraries and classrooms in the BCSD in October and are to be reviewed for their appropriateness by the committees. The reviews were triggered by the complaints from a group of parents that the books were obscene and inappropriate, though the list of books, submitted by former Beaufort County Councilman and prominent GOP politician Mike Covert, is nearly identical to a list compiled by a political group, Moms For Liberty.LOTS of Articles in files via NEXIS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andrews, Jesse",,,,Me and Earl and the Dying Girl,Me and Earl and the Dying Girl,Beaufort County School District,South Carolina,yes,October 2022,,,Removed from Shelves - While Under Review,"To recap, 97 books were removed from the shelves of libraries and classrooms in the BCSD in October and are to be reviewed for their appropriateness by the committees. The reviews were triggered by the complaints from a group of parents that the books were obscene and inappropriate, though the list of books, submitted by former Beaufort County Councilman and prominent GOP politician Mike Covert, is nearly identical to a list compiled by a political group, Moms For Liberty.LOTS of Articles in files via NEXIS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andrews, Jesse",,,,The Haters,The Haters,Beaufort County School District,South Carolina,yes,October 2022,,,Removed from Shelves - While Under Review,"To recap, 97 books were removed from the shelves of libraries and classrooms in the BCSD in October and are to be reviewed for their appropriateness by the committees. The reviews were triggered by the complaints from a group of parents that the books were obscene and inappropriate, though the list of books, submitted by former Beaufort County Councilman and prominent GOP politician Mike Covert, is nearly identical to a list compiled by a political group, Moms For Liberty.LOTS of Articles in files via NEXIS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arnold, Elana K.",,,,Damsel,Damsel,Beaufort County School District,South Carolina,yes,October 2022,,,Removed from Shelves - While Under Review,"To recap, 97 books were removed from the shelves of libraries and classrooms in the BCSD in October and are to be reviewed for their appropriateness by the committees. The reviews were triggered by the complaints from a group of parents that the books were obscene and inappropriate, though the list of books, submitted by former Beaufort County Councilman and prominent GOP politician Mike Covert, is nearly identical to a list compiled by a political group, Moms For Liberty.LOTS of Articles in files via NEXIS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asher, Jay",,,,Thirteen Reasons Why,Thirteen Reasons Why,Beaufort County School District,South Carolina,yes,October 2022,Committee Reviewing - VOTE 1/19/23,,Challenged-Retained,"To recap, 97 books were removed from the shelves of libraries and classrooms in the BCSD in October and are to be reviewed for their appropriateness by the committees. The reviews were triggered by the complaints from a group of parents that the books were obscene and inappropriate, though the list of books, submitted by former Beaufort County Councilman and prominent GOP politician Mike Covert, is nearly identical to a list compiled by a political group, Moms For Liberty.LOTS of Articles in files via NEXIS",Returned to K-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Atta, Dean",,,,The Black Flamingo,The Black Flamingo,Beaufort County School District,South Carolina,yes,October 2022,,,Removed from Shelves - While Under Review,"To recap, 97 books were removed from the shelves of libraries and classrooms in the BCSD in October and are to be reviewed for their appropriateness by the committees. The reviews were triggered by the complaints from a group of parents that the books were obscene and inappropriate, though the list of books, submitted by former Beaufort County Councilman and prominent GOP politician Mike Covert, is nearly identical to a list compiled by a political group, Moms For Liberty.LOTS of Articles in files via NEXIS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Atwood, Margaret",,,,The Handmaid's Tale,The Handmaid's Tale: The Graphic Novel,Beaufort County School District,South Carolina,yes,October 2022,,,Removed from Shelves - While Under Review,"To recap, 97 books were removed from the shelves of libraries and classrooms in the BCSD in October and are to be reviewed for their appropriateness by the committees. The reviews were triggered by the complaints from a group of parents that the books were obscene and inappropriate, though the list of books, submitted by former Beaufort County Councilman and prominent GOP politician Mike Covert, is nearly identical to a list compiled by a political group, Moms For Liberty.LOTS of Articles in files via NEXIS",RETURNED TO SHELVES 9-12 ONLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
