,unique_key,created_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,address_type,city,facility_type,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,intersection_street_1,intersection_street_2,landmark,closed_date,taxi_pick_up_location,due_date,bridge_highway_name,road_ramp,bridge_highway_segment,bridge_highway_direction
0,57104157,2023-03-22T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,10461.0,2509 POPLAR STREET,POPLAR STREET,LURTING AVENUE,ROSELLE STREET,ADDRESS,BRONX,DSNY Garage,Open,The Department of Sanitation is in the process of investigating this complaint.,2023-03-22T12:00:00.000,11 BRONX,2040700001.0,BRONX,1025834.0,246793.0,PHONE,Unspecified,BRONX,40.84396700689029,-73.84970466421375,"{'latitude': '40.84396700689029', 'longitude': '-73.84970466421375', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11270.0,59.0,5.0,12.0,32.0,,,,,,,,,,
1,57102505,2023-03-22T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,11228.0,676 82 STREET,82 STREET,DYKER PLACE,7 AVENUE,ADDRESS,BROOKLYN,,Open,The Department of Sanitation is in the process of investigating this complaint.,2023-03-22T12:00:00.000,10 BROOKLYN,3060100042.0,BROOKLYN,978582.0,165772.0,PHONE,Unspecified,BROOKLYN,40.62168050932725,-74.02041738449019,"{'latitude': '40.62168050932725', 'longitude': '-74.02041738449019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13511.0,10.0,2.0,44.0,41.0,,,,,,,,,,
2,57102880,2023-03-22T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,11368.0,45-15 97 PLACE,97 PLACE,45 AVENUE,CORONA AVENUE,ADDRESS,CORONA,,Open,The Department of Sanitation is in the process of investigating this complaint.,2023-03-22T12:00:00.000,04 QUEENS,4016260052.0,QUEENS,1021391.0,210725.0,PHONE,Unspecified,QUEENS,40.744990043047835,-73.86596225927356,"{'latitude': '40.744990043047835', 'longitude': '-73.86596225927356', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14510.0,66.0,3.0,21.0,68.0,,,,,,,,,,
3,57105518,2023-03-22T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,,,,,,INTERSECTION,,,Open,The Department of Sanitation is in the process of investigating this complaint.,2023-03-22T12:00:00.000,13 QUEENS,,QUEENS,,,PHONE,Unspecified,QUEENS,,,,,,,,,227 STREET,227 STREET,,,,,,,,
4,57106116,2023-03-22T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,11236.0,1550 EAST   96 STREET,EAST   96 STREET,AVENUE M,AVENUE N,ADDRESS,BROOKLYN,,Open,The Department of Sanitation is in the process of investigating this complaint.,2023-03-22T12:00:00.000,18 BROOKLYN,3082790076.0,BROOKLYN,1013972.0,170806.0,PHONE,Unspecified,BROOKLYN,40.63544972598064,-73.89291269229862,"{'latitude': '40.63544972598064', 'longitude': '-73.89291269229862', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13827.0,5.0,2.0,8.0,42.0,,,,,,,,,,
5,57100093,2023-03-22T01:59:47.000,NYPD,New York City Police Department,Illegal Parking,Paper License Plates,Street/Sidewalk,11235.0,2675 BROWN STREET,BROWN STREET,AVENUE Z,VOORHIES AVENUE,ADDRESS,BROOKLYN,,In Progress,,2023-03-22T02:21:38.000,15 BROOKLYN,3074770051.0,BROOKLYN,1001581.0,153579.0,MOBILE,Unspecified,BROOKLYN,40.58819808183535,-73.93760121712243,"{'latitude': '40.58819808183535', 'longitude': '-73.93760121712243', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13826.0,32.0,2.0,15.0,36.0,AVENUE Z,VOORHIES AVENUE,BROWN STREET,,,,,,,
6,57108167,2023-03-22T01:58:27.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11208.0,69 LINCOLN AVENUE,LINCOLN AVENUE,JAMAICA AVENUE,ETNA STREET,ADDRESS,BROOKLYN,,In Progress,,2023-03-22T02:15:08.000,05 BROOKLYN,3041090085.0,BROOKLYN,1020156.0,190246.0,MOBILE,Unspecified,BROOKLYN,40.688785261983746,-73.87052846640968,"{'latitude': '40.688785261983746', 'longitude': '-73.87052846640968', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17215.0,45.0,2.0,37.0,47.0,JAMAICA AVENUE,ETNA STREET,LINCOLN AVENUE,,,,,,,
7,57101372,2023-03-22T01:57:49.000,DOHMH,Department of Health and Mental Hygiene,Indoor Air Quality,Chemical Vapors/Gases/Odors,3+ Family Apartment Building,11224.0,3025 WEST   32 STREET,WEST   32 STREET,SEA PLACE,BOARDWALK WEST,ADDRESS,BROOKLYN,,In Progress,,,13 BROOKLYN,3070670001.0,BROOKLYN,984828.0,147695.0,ONLINE,Unspecified,BROOKLYN,40.57206458783264,-73.9979194632596,"{'latitude': '40.57206458783264', 'longitude': '-73.9979194632596', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",18184.0,21.0,2.0,45.0,35.0,SEA PLACE,BOARDWALK WEST,WEST   32 STREET,,,,,,,
8,57101218,2023-03-22T01:57:38.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11434.0,170-42 130 AVENUE,130 AVENUE,,BEDELL STREET,ADDRESS,JAMAICA,,In Progress,,,12 QUEENS,4124950002.0,QUEENS,1047661.0,185992.0,ONLINE,Unspecified,QUEENS,40.6769547186927,-73.77139003625513,"{'latitude': '40.6769547186927', 'longitude': '-73.77139003625513', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",24669.0,41.0,3.0,46.0,71.0,,BEDELL STREET,130 AVENUE,,,,,,,
9,57100003,2023-03-22T01:55:36.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Horn,Street/Sidewalk,11204.0,5602 19 AVENUE,19 AVENUE,55 STREET,58 STREET,ADDRESS,BROOKLYN,,In Progress,,2023-03-22T02:39:53.000,12 BROOKLYN,3054940089.0,BROOKLYN,989018.0,166212.0,ONLINE,Unspecified,BROOKLYN,40.62288874749557,-73.98282430288623,"{'latitude': '40.62288874749557', 'longitude': '-73.98282430288623', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",16867.0,2.0,2.0,18.0,39.0,55 STREET,58 STREET,19 AVENUE,,,,,,,
10,57102225,2023-03-22T01:55:27.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11421.0,76-29 85 DRIVE,85 DRIVE,76 STREET,79 STREET,ADDRESS,WOODHAVEN,,In Progress,,2023-03-22T02:54:27.000,09 QUEENS,4088450045.0,QUEENS,1021530.0,192107.0,PHONE,Unspecified,QUEENS,40.693887590952,-73.86556374197647,"{'latitude': '40.693887590952', 'longitude': '-73.86556374197647', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",24017.0,46.0,3.0,34.0,60.0,76 STREET,79 STREET,85 DRIVE,,,,,,,
11,57104004,2023-03-22T01:55:21.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11225.0,2121 BEEKMAN PLACE,BEEKMAN PLACE,DEAD END,FLATBUSH AVENUE,ADDRESS,BROOKLYN,,In Progress,,2023-03-22T02:17:05.000,09 BROOKLYN,3050260070.0,BROOKLYN,995080.0,179741.0,MOBILE,Unspecified,BROOKLYN,40.66001760998396,-73.96096553336491,"{'latitude': '40.66001760998396', 'longitude': '-73.96096553336491', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13509.0,17.0,2.0,11.0,44.0,DEAD END,FLATBUSH AVENUE,BEEKMAN PLACE,,,,,,,
12,57103414,2023-03-22T01:54:26.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,10302.0,50 SIMONSON PLACE,SIMONSON PLACE,CASTLETON AVENUE,ANDERSON AVENUE,ADDRESS,STATEN ISLAND,,In Progress,,,01 STATEN ISLAND,,STATEN ISLAND,947950.0,170082.0,ONLINE,Unspecified,STATEN ISLAND,40.633437987024436,-74.13078368086468,"{'latitude': '40.633437987024436', 'longitude': '-74.13078368086468', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10370.0,4.0,1.0,13.0,75.0,CASTLETON AVENUE,ANDERSON AVENUE,SIMONSON PLACE,,,,,,,
