,State
Texas,1393
Florida,738
Pennsylvania,439
Collierville Schools,327
Utah,159
Missouri,122
North Carolina,98
Virgina,62
Virginia,61
Tennessee,59
Oklahoma,53
Michigan,53
Georgia,51
Pennslyvania,48
Kansas,41
Indiana,31
Idaho,29
Wisconsin,25
Mississippi,23
New Jersey,20
Iowa,18
New York,18
Illinois,18
Washington,13
Rhode Island,12
Wyoming,12
Maine,9
South Carolina,9
Colorado,8
Minnesota,7
Alaska,7
Arkansas,6
Nebraska,5
South Dakota,5
Ohio,5
Nevada,5
Oregon,4
Massachuesetts,3
Maryland,3
Conneticut,3
IOwa,3
Vermont,3
OH,3
Kentucky,2
Montana,2
Arizona,2
Louisana,2
California,1
WI,1
West Virginia,1
