State,School District,School District
Alaska,Kenai Peninsula Borough School,6
Alaska,Anchorage School District,1
Arizona,Gilbert Public Schools,2
Arkansas,Bentonville,4
Arkansas,Fayetteville Public Schools,1
Arkansas,Siloam Springs School District,1
California,Newport-Mesa Unifed School District,1
Collierville Schools,Tennessee,327
Colorado,University Schools Middle and High School Libraries (Charter School),5
Colorado,Adams 12 Five Star Schools,2
Colorado,Monte Vista School District,1
Conneticut,Brookfield Schools,1
Conneticut,Shelton Public Schools,1
Conneticut,Stamford Board of Education,1
Florida,Duval County Public Schools,178
Florida,Indian River County Schools,152
Florida,Collier County Public Schools,85
Florida,St. Johns County School District,75
Florida,Walton County School District,58
Florida,Brevard County Public Schools,42
Florida,Lee County School,24
Florida,St. Lucie Public Schools,20
Florida,Polk County Schools,16
Florida,Jackson County School Board,14
Florida,Hillsborough,13
Florida,Pinellas School District,10
Florida,Orange County,9
Florida,Santa Rosa County District Schools,9
Florida,Osceola,6
Florida,Broward County Public Schools,5
Florida,Flagler School District,4
Florida,Sarasota County School,4
Florida,Hernando,3
Florida,Palm Beach County School District,3
Florida,Clay County,2
Florida,Pinellas County Schools,2
Florida,Clay County District Schools,1
Florida,Lake,1
Florida,Pinellas,1
Florida,Seminole,1
Georgia,Forsyth County Schools,24
Georgia,Cherokee County School District,15
Georgia,Savannah-Chatham County Public School SYstem,9
Georgia,Columbia County School District,1
Georgia,Coweta County School District,1
Georgia,Hall County School District,1
IOwa,West DesMoines Community Schools,3
Idaho,Nampa School District,24
Idaho,West Ada School District,4
Idaho,Bonneville Joint School District No 93,1
Illinois,Harlem School District 122,8
Illinois,Lake Forest Schools,2
Illinois,McLean County Unit District No. 5,2
Illinois,Barrington 220 Community Unit School District,1
Illinois,Community HIgh School District 17,1
Illinois,Downers Grove,1
Illinois,Ottawa Township High School,1
Illinois,ROWVA CSUD 208,1
Illinois,Rockford,1
Indiana,Carmel  Clay Schools,15
Indiana,Middlebury Community Schools,10
Indiana,Valparaiso Community Schools,2
Indiana,Westfield Washington Schools,2
Indiana,Hamilton Southeastern Schools,1
Indiana,Northwest Allen County Schools,1
Iowa,Urbandale Community School District,5
Iowa,Ankeny Community School District,4
Iowa,Dubuque Community Schools,3
Iowa,Waukee,3
Iowa,Carlisle Community Schools,1
Iowa,Keokuk Schools,1
Iowa,Ottumwa Community School District,1
Kansas,Goddard,29
Kansas,Shawnee Heights Unified School District 450,5
Kansas,Derby Public Schools,3
Kansas,Blue Valley USD 229,2
Kansas,Leavenworth School District,1
Kansas,Salina School District,1
Kentucky,Jefferson County Public Schools,2
Louisana,Bossier Parish Schools,2
Maine,Regional School Unit 40,2
Maine,School Administrative District 6,2
Maine,Gorham School District,1
Maine,Rangeley Lakes Regional School District,1
Maine,Regional School Unit 34,1
Maine,Regional School Unit No. 56,1
Maine,York,1
Maryland,Baltimore County Public Schools,1
Maryland,Wicomico County Schools,1
Maryland,Worcester County Public Schools,1
Massachuesetts,Waltham Public Schools,2
Massachuesetts,Silver Lake Regional School District,1
Michigan,Gladwin Community Schools,34
Michigan,Davison Community Schools,8
Michigan,Rochester Community Schools,6
Michigan,Spring Lake Public Schools,2
Michigan,Hudsonville Public Schools,1
Michigan,Novi Community School District,1
Michigan,Troy School Board,1
Minnesota,Hastings Public Schools,4
Minnesota,Osseo Area Schools,1
Minnesota,Wayzata Public Schools,1
Minnesota,Wayzeta Public Schools,1
Mississippi,Madison County Schools,22
Missouri,Rockwood,36
Missouri,St. Louis Region Schools,21
Missouri,Lindbergh School District,16
Missouri,Nixa Public Schools,15
Missouri,Fox C-6 School District,13
Missouri,Wentzville,8
Missouri,Francis Howell,7
Missouri,North Kansas City Schools,2
Missouri,Independence School District,1
Missouri,Liberty Public Schools 53,1
Missouri,Monett R-1 School District,1
Montana,Billings Public Schools,2
Nebraska,Omaha Public School District,2
Nebraska,Wauneta-Palisade Schools,2
Nebraska,Norris School District 160,1
Nevada,Clark County School District,5
New Jersey,North Hunterton,9
New Jersey,Wayne Public Schools,4
New Jersey,Lower Township Elementary,2
New Jersey,Montgomery Township School District,2
New Jersey,Northern Valley Regional High School District,1
New Jersey,Sparta Township Public Schools,1
New Jersey,Westfield,1
New York,Yorktown Central School District,9
New York,Baldwinsville Central School District,3
New York,Marlboro Central School District,2
New York,Arlington Central School District,1
New York,Auburn Enlarged City School District,1
New York,Connetquot School District,1
New York,Wappingers Central School District,1
North Carolina,Catawba County Schools,25
North Carolina,Union Academy,25
North Carolina,Wake County,11
North Carolina,New Hanover County Schools,9
North Carolina,Wilkes County School District,6
North Carolina,Moore County Schools,5
North Carolina,Orange County Schools,5
North Carolina,Pitt County Schools,3
North Carolina,Iredell-Statesville Schools,2
North Carolina,Union County Public Schools,2
North Carolina,Charlotte-Mecklenburg Schools,1
North Carolina,Dare County Schools,1
North Carolina,Davidson County Schools,1
North Carolina,Guilford County Schools,1
North Carolina,Haywood County Schools,1
OH,Hudson,3
Ohio,Millford Schools,2
Ohio,Buckeye Valley Local Schools,1
Ohio,Hudson,1
Ohio,Rocky River City Schools,1
Oklahoma,Bristow Public Schools,38
Oklahoma,Edmond Public Schools,6
Oklahoma,Stillwater Public Schools,4
Oklahoma,Bixby Public Schools,3
Oklahoma,Tulsa Public Schools,2
Oregon,Salem-Keizer Public Schools,2
Oregon,Medford School District,1
Oregon,Roseburg,1
Pennslyvania,Keystone School District,17
Pennslyvania,Central York,5
Pennslyvania,Pennridge School District,4
Pennslyvania,West Chester,4
Pennslyvania,Downington Area School District,3
Pennslyvania,North Penn High School,3
Pennslyvania,York,3
Pennslyvania,Hempfield Area School District,2
Pennslyvania,Wallingford-Swarthmore,2
Pennslyvania,DuBois,1
Pennslyvania,Fairview School District,1
Pennslyvania,Franklin Regional School District,1
Pennslyvania,Kutztown Area School District,1
Pennslyvania,Wissahickon,1
Pennsylvania,Central York,351
Pennsylvania,Littlestown Area School District,31
Pennsylvania,Pleasant Valley School District,27
Pennsylvania,Penncrest School District,9
Pennsylvania,Delaware Valley,7
Pennsylvania,Cumberland Valley School District,3
Pennsylvania,Council Rock School Board,2
Pennsylvania,Elizabethtown Area School District,2
Pennsylvania,Radnor Township Schools,2
Pennsylvania,Eastern Lancaster County School District,1
Pennsylvania,Erie County School District,1
Pennsylvania,New Brighton Area School Board,1
Pennsylvania,Oley Valley School District,1
Pennsylvania,Warwick School District,1
Rhode Island,North Smithfield School District,9
Rhode Island,North Kingston,1
Rhode Island,Pawtucket School Department,1
