State,School District
Alaska,2
Arizona,1
Arkansas,3
California,1
Collierville Schools,1
Colorado,3
Conneticut,3
Florida,26
Georgia,6
IOwa,1
Idaho,3
Illinois,9
Indiana,6
Iowa,7
Kansas,6
Kentucky,1
Louisana,1
Maine,7
Maryland,3
Massachuesetts,2
Michigan,7
Minnesota,4
Mississippi,1
Missouri,11
Montana,1
Nebraska,3
Nevada,1
New Jersey,7
New York,7
North Carolina,15
OH,1
Ohio,4
Oklahoma,5
Oregon,3
Pennslyvania,14
Pennsylvania,14
Rhode Island,4
South Carolina,2
South Dakota,1
Tennessee,7
Texas,34
Utah,5
Vermont,1
Virgina,1
Virginia,15
WI,1
Washington,6
West Virginia,1
Wisconsin,8
Wyoming,3
