Title,Author,Reason(s) for Challenge,"Year(s)
published",2010–2019[6],2000–2009[7],1990–1999[8]
The Absolutely True Diary of a Part-Time Indian,Sherman Alexie,"Content regarding alcohol, bullying, violence; sexual references; profanity and slurs; allegations against the author",2007,1,—,—
Adventures of Huckleberry Finn,Mark Twain,"Coarse language, racial stereotypes and use of the N-word",1884,33,14,5
The Adventures of Super Diaper Baby,Dav Pilkey,Encouraging poor spelling,2002,41,47,—
The Adventures of Tom Sawyer,Mark Twain,Coarse language; racial stereotypes,1876,—,—,83
Alice (series),Phyllis Reynolds Naylor,Sexual content,1985–2013,21,2,14
All American Boys,Jason Reynolds and Brendan Kiely,"Profanity, drug use, and alcoholism; thought to promote anti-police views, contain divisive topics, and be “too much of a sensitive matter right now”[9]",2015,—,—,—
All Boys Aren’t Blue,George M. Johnson,"""LGBTQIA+ content, profanity, and because it was considered to be sexually explicit""",,,,
All the King's Men,Robert Penn Warren,"Depicting a ""depressing view of life"" and ""immoral situations""",1946,—,—,—
Almost Perfect,Brian Katcher,LGBT content,2009,81,—,—
Always Running,Luis J. Rodriguez,"Gang violence, drug use and sexual references",1993,—,68,85
America,E. R. Frank,Sexual references; drug and alcohol use,2002,—,100,—
American Psycho,Bret Easton Ellis,Sexual references; violence toward women,1991,—,—,53
An American Tragedy,Theodore Dreiser,Sexual content; abortion; murder,1925,—,—,—
The Anarchist Cookbook,William Powell,Content related to the manufacturing of illicit narcotics and explosives,1971,—,—,59
Anastasia Krupnik (series),Lois Lowry,"References to beer, Playboy magazine, and suicide",1979–1995,—,75,28
And Tango Makes Three,"Peter Parnell, Justin Richardson",Content regarding homosexuality and same-sex marriage,2005,6,4,—
Animal Farm,George Orwell,Political (Communist) commentary,1945,—,—,—
Anne Frank: Diary of a Young Girl,Anne Frank,Discussions of puberty and teenage sexuality,1946,62,—,—
Annie on My Mind,Nancy Garden,LGBT content,1982,—,—,44
"Angus, Thongs and Full-Frontal Snogging",Louise Rennison,"Crude language, sexual content, LGBT content",1999,—,35,—
"Are You There God? It's Me, Margaret.",Judy Blume,Content dealing with menstrual cycles and feminine hygiene,1970,—,99,60
The Arizona Kid,Ron Koertge,LGBT content,1988,—,—,75
Arming America: The Origins of a National Gun Culture,Michael A. Bellesiles,"Content dealing with firearms, later proven to have been fabricated",2000,—,38,—
As I Lay Dying,William Faulkner,Dealing with issues of death; abortion,1930,—,—,—
Asking About Sex and Growing Up,Joanna Cole,Sexual education,1988,—,—,57
Athletic Shorts: Six Short Stories,Chris Crutcher,"Content dealing with eating disorders, child abuse, racism, LGBT themes and AIDS",1991,—,44,63
The Awakening,Kate Chopin,Sexual content,1899,82,—,—
A Bad Boy Can Be Good For a Girl,Tanya Lee Stone,"Crude language, sexual content, mature themes",2006,44,—,—
Bad Kitty (series),Nick Bruel,"Crude language, sexual content, mature themes",2005-2021,37,—,—
Beloved,Toni Morrison,Themes regarding slavery; violence,1987,45,26,45
Beyond Magenta: Transgender Teens Speak Out,Susan Kuklin,"Anti-family, offensive language, homosexuality, sex education, political viewpoint, religious viewpoint, unsuited for age group, and other (""wants to remove from collection to ward off complaints"")",2014,27,—,—
Big Hard Sex Criminals,"Matt Fraction, illustrated by Chip Zdarsky",Sexually explicit,2015,—,—,—
Black Boy,Richard Wright,"Themes of communism, sexual content, racism and atheism",1946,—,81,—
"Bless Me, Ultima",Rudolfo Anaya,"Profanity, crude language and violence",1972,63,32,78
Blood and Chocolate,Annette Curtis Klause,Sexual content; supernatural themes,1997,—,57,—
Blubber,Judy Blume,Content dealing with the issue of bullying,1974,—,43,30
The Bluest Eye,Toni Morrison,"Themes of racism, incest and child sexual abuse",1970,10,15,34
Bone (series),Jeff Smith,"References to smoking, drinking and gambling",1991–2004,—,—,—
This Book is Gay,Juno Dawson,"LGBTQIA+ content, provides sexual education",2014,53,—,—
The Boy Who Lost His Face,Louis Sachar,"Themes of the occult, sexuality and bullying; profanity",1989,—,92,46
Boys and Sex,Wardell Pomeroy,Sexual education,1968,—,—,61
Brave New World,Aldous Huxley,Anti-religion and anti-family themes; sexual content,1931,26,36,54
Brideshead Revisited,Evelyn Waugh,"Themes of homosexuality, alcoholism, infidelity",1945,—,—,—
Bridge to Terabithia,Katherine Paterson,"Allegations that the book promotes secular humanism, New Age religion, occultism, and Satanism",1977,—,28,8
Bumps in the Night,Harry Allard,"Supernatural and occult themes, anti-family, encourages disobedience",1979,—,93,56
Burned,Ellen Hopkins,"Supernatural and occult themes, anti-family, encourages disobedience",2006,83,—,—
The Call of the Wild,Jack London,Author's pro-Socialism views,1903,—,—,—
Captain Underpants (series),Dav Pilkey,"Offensive language, unsuited for age group, violence",1997–2015,2,13,—
Carrie,Stephen King,"Violence, anti-religious themes, sexual themes",1974,—,—,81
Cat's Cradle,Kurt Vonnegut,"Language, animal abuse, anti-religious themes, and scatological humor",1963,—,—,—
Catch-22,Joseph Heller,Obscene language,1961,—,—,—
The Catcher in the Rye,J. D. Salinger,"Offensive language, sexually explicit, unsuited to age group",1951,49,19,10
"A Child Called ""It""",Dave Pelzer,Child abuse,1995,36,—,—
The Chocolate War,Robert Cormier,"Nudity, offensive language, sexually explicit, unsuited to age group",1974,—,3,4
Christine,Stephen King,"Obscene language, sexual themes",1983,—,—,95
A Clockwork Orange,Anthony Burgess,Obscene language,1962,80,—,—
The Color Purple,Alice Walker,"Offensive language, sexually explicit, unsuited to age group",1982,50,17,17
The Color of the Earth (trilogy),Tong-hwa Kim,"Nudity, sex education, sexually explicit, unsuited to age group",2009,—,—,—
Crank,Ellen Hopkins,"Drugs, offensive language, sexually explicit",2004,38,—,—
Crazy,Benjamin Lebert,"Obscene language, sexual themes",2000,—,77,—
Crazy Lady!,Jane Leslie Conly,Offensive language,1993,—,45,62
"Cross Your Fingers, Spit in Your Hat",Alvin Schwartz,Supernatural themes,1974,—,—,47
Cujo,Stephen King,"Violence, obscene language, explicit sex scenes",1983,—,—,49
The Curious Incident of the Dog in the Night-Time,Mark Haddon,"Offensive language, religious viewpoint, unsuited for age group, and other (""profanity and atheism"")",2003,51,—,—
"Curses, Hexes and Spells",Daniel Cohen,"Supernatural themes, references to the Bible",1974,—,—,71
Cut,Patricia McCormick,References to cutting and self-harm,2000,—,86,—
Daddy's Roommate,Michael Willhoite,LGBT themes,1991,—,—,2
Daughters of Eve,Lois Duncan,"Obscene language, sexual content, and violence",1979,—,51,—
This Day in June,"Gayle E. Pitman, illustrated by Kristyna Litten",LGBT content,2013,42,—,—
A Day in the Life of Marlon Bundo,Jill Twiss,"LGBTQIA+ content, political and religious viewpoints",2018,19,—,—
A Day No Pigs Would Die,Robert Newton Peck,References to animal slaughter and animal mating,1972,—,80,16
The Dead Zone,Stephen King,Obscene language,1979,—,—,82
"Deal with It!: A Whole New Approach to Your Body, Brain, and Life as a gURL",Esther Drill,Explicit sexual content and LGBT themes,1999,—,82,—
Deenie,Judy Blume,References to masturbation,1973,—,—,42
Detour for Emmy,Marilyn Reynolds,Sexual content and references to teen pregnancy,1993,—,83,—
The Dirty Cowboy,Amy Timberlake,,2003,60,—,—
Drama,Raina Telgemeier,"Includes LGBT characters, was deemed sexually explicit, and was considered to have an offensive political viewpoint",2012,7,—,—
Draw Me a Star,Eric Carle,,1992,65,—,—
Dreaming in Cuban,Cristina García,Sexual content and nude drawings of Adam and Eve,1992,64,61,—
The Drowning of Stephan Jones,Bette Greene,LGBT themes,1991,—,—,96
"The Earth, My Butt, and Other Big Round Things",Carolyn Mackler,"Offensive language, sexually explicit, unsuited to age group",2003,—,34,—
Earth's Children (series),Jean M. Auel,Graphic sexual content,1980–2011,—,—,19
Eleanor & Park,Rainbow Rowell,Offensive language,2013,54,—,—
Ender's Game,Orson Scott Card,,1985,84,—,—
Extremely Loud & Incredibly Close,Jonathan Safran Foer,,2005,55,—,—
The Face on the Milk Carton,Caroline B. Cooney,"Sexual content, challenging authority, and unsuitable for age group",1990,—,29,80
The Facts Speak For Themselves,Brock Cole,"Sexual content, violence",1997,—,54,—
Fade,Robert Cormier,"References to child sexual abuse, and violence",1988,—,—,65
Fahrenheit 451,Ray Bradbury,"Obscene language, references to smoking and drinking, violence, and religious themes",1953,—,69,—
Fallen Angels,Walter Dean Myers,"Offensive language, racism, violence",1988,85,11,36
The Family Book,Todd Parr,,2003,67,—,—
Family Secrets,Norma Klein,"Sexual content, obscene language, references to adultery, smoking, and implied incest",1985,—,—,76
A Farewell to Arms,Ernest Hemingway,Sexual content,1929,—,—,—
Fat Kid Rules the World,KL Going,"Obscene language, sexual themes, and drug use",2003,—,58,—
Feed,M.T. Anderson,,2002,68,—,—
Fight Club,Chuck Palahniuk,"Sexually explicit, violence, anarchist themes, smoking, drinking",1996,—,—,—
